[2020-01-15T10:04:19.625] [INFO] default - [::1 POST /home/register 200 186ms][http://localhost:8081/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T10:12:35.129] [INFO] default - [::1 OPTIONS /home/register 200 10ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T10:16:20.488] [INFO] default - [::1 OPTIONS /home/register 200 12ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T10:16:20.578] [INFO] default - [::1 POST /home/register 200 80ms][http://localhost:8081/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T10:32:08.370] [INFO] default - [::1 OPTIONS /home/register 200 10ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T10:32:36.187] [INFO] default - [::1 OPTIONS /home/register 200 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T10:32:36.263] [INFO] default - [::1 POST /home/register 200 72ms][http://localhost:8081/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T10:32:59.153] [INFO] default - [::1 OPTIONS /home/login 200 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T10:32:59.161] [INFO] default - [::1 POST /home/login 404 4ms][http://localhost:8081/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T10:33:30.655] [INFO] default - [::1 OPTIONS /home/login 200 10ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
